County,Average Number of Children
1001,1.1
1003,1.1
1005,1
1007,0.9
1009,0.7
1011,1
1013,0.9
1015,1.2
1017,0.9
1019,0.6
1021,0.8
1023,4
1025,0.9
1027,2.8
1029,0.5
1031,0.9
1033,1
1035,0.6
1037,
1039,1.4
1041,0
1043,1.1
1045,0.9
1047,1.7
1049,1.2
1051,1.2
1053,1.1
1055,1.1
1057,1.6
1059,1.1
1061,1.1
1063,1.3
1065,0.8
1067,0.8
1069,1
1071,1.5
1073,1.1
1075,0.8
1077,0.9
1079,0.3
1081,1.4
1083,0.6
1085,0.8
1087,1.3
1089,1
1091,1.2
1093,1
1095,0.8
1097,1.4
1099,0.8
1101,0.9
1103,1.3
1105,1
1107,1.4
1109,1.4
1111,1
1113,1.4
1115,0.8
1117,1.1
1119,0.8
1121,1
1123,1
1125,1.3
1127,0.7
1129,1.5
1131,1.2
1133,1.3
2013,0.4
2050,2
2070,2.3
2090,1.8
2100,1.2
2105,2
2110,2
2122,1.2
2130,1.3
2150,0
2170,1.5
2180,1.8
2188,1.1
2195,
2198,0.8
2220,1.1
2240,2.3
2261,0.5
2290,0.9
4001,1.2
4003,1.4
4005,1
4007,1.1
4009,1.3
4011,3
4012,1.5
4013,1.1
4015,0.7
4017,1.7
4019,1.2
4021,1.2
4023,1.6
4025,0.8
4027,1.6
5001,0.6
5003,0.6
5005,0.3
5007,1.1
5009,0.8
5011,0.8
5013,0
5015,1.1
5017,0.2
5019,0.5
5021,0.8
5023,0.7
5025,1
5027,1.7
5029,0.4
5031,0.8
5033,1.1
5035,1.5
5037,0.6
5039,0.8
5041,0.6
5043,1.4
5045,1.2
5047,0.6
5049,0.9
5051,1
5053,0.8
5055,0.6
5057,0.8
5059,1.5
5061,1
5063,1.2
5065,0.9
5067,0.8
5069,1.2
5071,0.7
5073,1.5
5075,0.9
5077,1.8
5079,1
5081,1
5083,0.4
5085,0.9
5087,0.6
5089,0.8
5091,1
5093,1
5095,1.6
5097,1.5
5099,1.5
5101,1.6
5103,0.8
5105,0.5
5107,1.1
5109,0.8
5111,1
5113,0.9
5115,1.2
5117,1.4
5119,1.2
5121,0.6
5123,1.4
5125,0.8
5127,1.5
5129,0
5131,0.9
5133,0.6
5135,0.3
5137,0.2
5139,1.3
5141,0.4
5143,1
5145,1.2
5147,1
5149,1.3
6005,
6007,1.9
6009,3.5
6011,3
6013,
6015,1.1
6017,1.1
6019,2
6021,1.7
6023,1.4
6025,1.9
6029,1.7
6031,1.9
6033,0
6035,2
6037,3
6039,1.4
6043,0
6045,1.5
6047,1.7
6049,0.3
6053,1.7
6055,
6057,0.8
6061,1.3
6063,
6065,1.4
6067,1.3
6069,
6071,0.1
6073,0.8
6077,0.3
6079,1.5
6083,3
6087,2
6089,0.7
6091,3
6093,1.3
6095,0.8
6097,1.6
6099,0.4
6101,0.6
6103,0.9
6105,
6107,1.7
6109,0.7
6111,2
6113,1
6115,1.3
8001,1.5
8003,1.2
8005,3
8007,2.5
8009,1
8011,1.4
8013,1.3
8015,0.3
8017,4
8019,2
8021,1.4
8023,1.1
8025,0.9
8027,0.5
8029,1.6
8033,1.5
8035,
8037,3.3
8039,0
8041,0.9
8043,1
8045,2
8047,0
8049,1.2
8051,0.6
8053,0
8055,1.1
8059,
8061,1.5
8063,0.6
8065,0.5
8067,0.6
8069,0.8
8071,1.1
8073,1.5
8075,1
8077,0.9
8079,1
8081,0.7
8083,1.2
8085,1.3
8087,1.3
8089,1.2
8091,0.5
8093,0.7
8095,1.2
8099,1.4
8101,1.5
8103,0
8105,1.4
8107,0.5
8109,1.5
8111,0.2
8113,1.3
8115,1
8119,1.6
8121,0.3
8123,1.7
8125,1.2
9001,1.9
9003,1.8
9005,1.4
9007,1.5
9009,1.5
9011,1.3
9013,1.2
9015,1.2
10001,1.6
10003,1.6
10005,1.4
12001,1.5
12003,1.3
12005,1.2
12007,0
12009,1
12011,
12013,0.8
12015,0.9
12017,0.5
12019,0.9
12021,1.1
12023,1.2
12027,2.3
12029,3
12031,0.4
12033,1.3
12035,0.6
12037,0.8
12039,1.3
12041,
12043,0.2
12045,0.7
12047,0.8
12049,1.7
12051,1.2
