Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
1/1/2020,9/24/2022,By Total,United States,All Sexes,All Ages,1053406,9167672,965766,535892,12369,1493833
1/1/2020,9/24/2022,By Total,Alabama,All Sexes,All Ages,20150,173261,14541,6980,205,27889
1/1/2020,9/24/2022,By Total,Alaska,All Sexes,All Ages,1372,14702,1230,774,24,1850
1/1/2020,9/24/2022,By Total,Arizona,All Sexes,All Ages,28262,213155,26095,16546,223,38020
1/1/2020,9/24/2022,By Total,Arkansas,All Sexes,All Ages,11690,104442,11045,5720,144,17144
1/1/2020,9/24/2022,By Total,California,All Sexes,All Ages,100371,875651,103500,58601,1011,146240
1/1/2020,9/24/2022,By Total,Colorado,All Sexes,All Ages,13998,130068,12640,7360,232,19499
1/1/2020,9/24/2022,By Total,Connecticut,All Sexes,All Ages,11471,97242,8054,3772,121,15866
1/1/2020,9/24/2022,By Total,Delaware,All Sexes,All Ages,3090,30148,2805,1568,32,4357
1/1/2020,9/24/2022,By Total,District of Columbia,All Sexes,All Ages,2083,19103,2593,1609,12,3079
1/1/2020,9/24/2022,By Total,Florida,All Sexes,All Ages,75273,682060,81068,47034,757,109980
1/1/2020,9/24/2022,By Total,Georgia,All Sexes,All Ages,33956,286466,29121,17808,320,45555
1/1/2020,9/24/2022,By Total,Hawaii,All Sexes,All Ages,1649,34192,2657,857,31,3478
1/1/2020,9/24/2022,By Total,Idaho,All Sexes,All Ages,5239,46924,4211,2693,63,6813
1/1/2020,9/24/2022,By Total,Illinois,All Sexes,All Ages,35961,334725,33980,18886,297,51333
1/1/2020,9/24/2022,By Total,Indiana,All Sexes,All Ages,24849,210500,23460,13213,269,35344
1/1/2020,9/24/2022,By Total,Iowa,All Sexes,All Ages,10082,93244,8132,3823,161,14544
1/1/2020,9/24/2022,By Total,Kansas,All Sexes,All Ages,9326,83954,7863,4220,180,13140
1/1/2020,9/24/2022,By Total,Kentucky,All Sexes,All Ages,17981,154900,19116,9503,212,27782
1/1/2020,9/24/2022,By Total,Louisiana,All Sexes,All Ages,16610,149558,13724,8518,144,21945
1/1/2020,9/24/2022,By Total,Maine,All Sexes,All Ages,2713,44898,3133,741,53,5158
1/1/2020,9/24/2022,By Total,Maryland,All Sexes,All Ages,16412,156423,14950,6745,194,24784
1/1/2020,9/24/2022,By Total,Massachusetts,All Sexes,All Ages,19214,178143,16895,8083,317,28323
1/1/2020,9/24/2022,By Total,Michigan,All Sexes,All Ages,33734,308575,30868,17378,401,47593
1/1/2020,9/24/2022,By Total,Minnesota,All Sexes,All Ages,13590,139095,11561,5155,213,20197
1/1/2020,9/24/2022,By Total,Mississippi,All Sexes,All Ages,13880,105738,13228,7151,134,20066
1/1/2020,9/24/2022,By Total,Missouri,All Sexes,All Ages,21541,203567,19092,10419,307,30496
1/1/2020,9/24/2022,By Total,Montana,All Sexes,All Ages,3689,33028,3206,1912,61,5042
1/1/2020,9/24/2022,By Total,Nebraska,All Sexes,All Ages,5197,51734,4988,2316,93,7958
1/1/2020,9/24/2022,By Total,Nevada,All Sexes,All Ages,11516,88003,13130,8773,93,15960
1/1/2020,9/24/2022,By Total,New Hampshire,All Sexes,All Ages,2653,37582,2539,1023,53,4218
1/1/2020,9/24/2022,By Total,New Jersey,All Sexes,All Ages,33209,237134,26655,16468,196,43571
1/1/2020,9/24/2022,By Total,New Mexico,All Sexes,All Ages,8183,63278,7276,4504,90,11033
1/1/2020,9/24/2022,By Total,New York,All Sexes,All Ages,38161,315315,36037,16714,396,57848
1/1/2020,9/24/2022,By Total,New York City,All Sexes,All Ages,36082,189127,23984,13289,1077,47003
1/1/2020,9/24/2022,By Total,North Carolina,All Sexes,All Ages,30980,307161,31257,16780,376,45814
1/1/2020,9/24/2022,By Total,North Dakota,All Sexes,All Ages,2898,22279,2873,1537,56,4288
1/1/2020,9/24/2022,By Total,Ohio,All Sexes,All Ages,45517,387174,38177,22785,427,61316
1/1/2020,9/24/2022,By Total,Oklahoma,All Sexes,All Ages,16906,128246,15255,7547,259,24833
1/1/2020,9/24/2022,By Total,Oregon,All Sexes,All Ages,8020,115488,7186,3293,119,12026
1/1/2020,9/24/2022,By Total,Pennsylvania,All Sexes,All Ages,48488,417286,38189,21597,509,65541
1/1/2020,9/24/2022,By Total,Rhode Island,All Sexes,All Ages,3768,31613,2862,1678,43,4994
1/1/2020,9/24/2022,By Total,South Carolina,All Sexes,All Ages,19142,167323,15578,8235,206,26674
1/1/2020,9/24/2022,By Total,South Dakota,All Sexes,All Ages,3192,25675,2906,1514,64,4643
1/1/2020,9/24/2022,By Total,Tennessee,All Sexes,All Ages,27701,246305,27676,14642,383,41076
1/1/2020,9/24/2022,By Total,Texas,All Sexes,All Ages,98632,696840,89662,55723,925,133362
1/1/2020,9/24/2022,By Total,Utah,All Sexes,All Ages,5415,61994,5070,2608,90,7959
1/1/2020,9/24/2022,By Total,Vermont,All Sexes,All Ages,740,17370,973,252,23,1484
1/1/2020,9/24/2022,By Total,Virginia,All Sexes,All Ages,20933,222576,17221,9101,223,29253
1/1/2020,9/24/2022,By Total,Washington,All Sexes,All Ages,13266,180070,15789,8060,200,21184
1/1/2020,9/24/2022,By Total,West Virginia,All Sexes,All Ages,7459,73563,8462,3946,106,12073
1/1/2020,9/24/2022,By Total,Wisconsin,All Sexes,All Ages,15463,165426,11683,5524,227,21834
1/1/2020,9/24/2022,By Total,Wyoming,All Sexes,All Ages,1699,15348,1570,914,17,2371
1/1/2020,9/24/2022,By Total,Puerto Rico,All Sexes,All Ages,5142,90170,12659,3616,198,14356
1/1/2020,12/31/2020,By Year,United States,All Sexes,All Ages,385666,3390039,352010,180086,8787,565226
1/1/2021,12/31/2021,By Year,United States,All Sexes,All Ages,463206,3471790,412024,259609,1092,616440
1/1/2022,9/24/2022,By Year,United States,All Sexes,All Ages,204534,2305843,201732,96197,2490,312167
1/1/2020,12/31/2020,By Year,Alabama,All Sexes,All Ages,6706,63362,5213,2177,140,9870
1/1/2021,12/31/2021,By Year,Alabama,All Sexes,All Ages,9719,67323,6356,3604,36,12496
1/1/2022,9/24/2022,By Year,Alabama,All Sexes,All Ages,3725,42576,2972,1199,29,5523
1/1/2020,12/31/2020,By Year,Alaska,All Sexes,All Ages,254,5008,312,142,10,434
1/1/2021,12/31/2021,By Year,Alaska,All Sexes,All Ages,839,6076,667,502,0,1005
1/1/2022,9/24/2022,By Year,Alaska,All Sexes,All Ages,279,3618,251,130,13,411
1/1/2020,12/31/2020,By Year,Arizona,All Sexes,All Ages,9321,77080,9212,5442,148,13237
1/1/2021,12/31/2021,By Year,Arizona,All Sexes,All Ages,14060,82476,11969,8524,19,17518
1/1/2022,9/24/2022,By Year,Arizona,All Sexes,All Ages,4881,53599,4914,2580,56,7265
1/1/2020,12/31/2020,By Year,Arkansas,All Sexes,All Ages,4027,37818,3902,1810,102,6215
1/1/2021,12/31/2021,By Year,Arkansas,All Sexes,All Ages,5336,40036,4788,2870,15,7264
1/1/2022,9/24/2022,By Year,Arkansas,All Sexes,All Ages,2327,26588,2355,1040,27,3665
1/1/2020,12/31/2020,By Year,California,All Sexes,All Ages,33578,320776,37034,18790,819,52630
1/1/2021,12/31/2021,By Year,California,All Sexes,All Ages,48328,334605,45891,30151,53,64107
1/1/2022,9/24/2022,By Year,California,All Sexes,All Ages,18465,220270,20575,9660,139,29503
1/1/2020,12/31/2020,By Year,Colorado,All Sexes,All Ages,5073,47592,4593,2503,139,7297
1/1/2021,12/31/2021,By Year,Colorado,All Sexes,All Ages,6207,49135,5400,3634,13,7983
1/1/2022,9/24/2022,By Year,Colorado,All Sexes,All Ages,2718,33341,2647,1223,80,4219
1/1/2020,12/31/2020,By Year,Connecticut,All Sexes,All Ages,6298,38106,3181,1591,92,7977
